title,publication_date,product_name,company_in_the_list,company_name_variants,multiple_nationality,main_country,no_total_authors,no_author_with_any_coi,coi_employment,coi_advisory_consulting,coi_speakers_bureau,coi_honoraria,first_author_coi_all,last_author_coi_all,coi_employment_first_author,coi_employment_last_author,coi_advisory_first_author,coi_advisory_last_author,coi_speakers_first_author,coi_speakers_last_author,coi_honoraria_first_author,coi_honoraria_last_author
Avelumab in Patients With Gestational Trophoblastic Tumors With Resistance to Single-Agent Chemotherapy: Cohort A of the TROPHIMMUN Phase II Trial,2020-09-20,avelumab,True,['Pfizer'],0,France,19,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1
"Phase II Study of Pembrolizumab As First-Line, Single-Drug Therapy for Patients With Unresectable Cutaneous Squamous Cell Carcinomas",2020-09-10,pembrolizumab,True,"['Merck', 'MSD', 'MSD Oncology']",0,France,35,14,0,12,1,2,1,0,0,0,1,0,0,0,0,0
Phase Ib Study of Lenvatinib Plus Pembrolizumab in Patients With Unresectable Hepatocellular Carcinoma,2020-09-10,lenvatinib,True,"['Eisai', 'Eisai Japan']",1,USA,20,17,4,9,1,6,1,1,0,0,1,0,0,0,0,0
"Cancer and Leukemia Group B 90203 (Alliance): Radical Prostatectomy With or Without Neoadjuvant Chemohormonal Therapy in Localized, High-Risk Prostate Cancer",2020-09-10,Docetaxel,True,"['Sanofi', 'Sanofi-Aventis', 'Sanofi/Genzyme']",0,USA,20,5,0,3,0,2,0,1,0,0,0,0,0,0,0,0
Sorafenib Maintenance After Allogeneic Hematopoietic Stem Cell Transplantation for Acute Myeloid Leukemia With FLT3â€“Internal Tandem Duplication Mutation (SORMAIN),2020-09-10,sorafenib,True,"['Bayer', 'Bayer Health', 'Bayer Healthcare', 'Bayer Schering Pharma']",0,Germany,41,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Teriparatide Promotes Bone Healing in Medication-Related Osteonecrosis of the Jaw: A Placebo-Controlled, Randomized Trial",2020-09-10,teriparatide,True,['Eli Lilly'],0,Australia,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Successful Outcomes of Newly Diagnosed T Lymphoblastic Lymphoma: Results From Childrenâ€™s Oncology Group AALL0434,2020-09-10,nelarabine,True,['Jazz Pharmaceuticals'],0,USA,18,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Lenvatinib Plus Pembrolizumab in Patients With Advanced Endometrial Cancer,2020-09-10,lenvatinib,True,"['Eisai', 'EISAI']",0,USA,19,12,6,5,1,1,1,1,0,0,1,1,0,0,1,0
Positron Emission TomographyÃ¢â‚¬â€œDirected Therapy for Patients With Limited-Stage Diffuse Large B-Cell Lymphoma: Results of Intergroup National Clinical Trials Network Study S1001,2020-09-10,rituximab,True,"['Hoffmann-LaRoche', 'Genentech/Roche', 'AbbVie/Genentech', 'Genentech', 'Roche']",0,USA,19,8,0,5,0,1,0,1,0,0,0,0,0,0,0,0
Pembrolizumab Monotherapy for Recurrent or Metastatic Cutaneous Squamous Cell Carcinoma: A Single-Arm Phase II Trial (KEYNOTE-629),2020-09-01,pembrolizumab,True,"['Merck Sharp & Dohme', 'Merck']",1,France,14,7,3,2,0,0,1,0,0,0,1,0,0,0,0,0
Stereotactic Ablative Radiotherapy for the Comprehensive Treatment of Oligometastatic Cancers: Long-Term Results of the SABR-COMET Phase II Randomized Trial,2020-09-01,stereotactic ablative radiotherapy,True,['Varian Medical Systems'],1,Canada,24,5,0,1,1,1,1,1,0,0,0,1,0,0,0,0
"ASCEND: Phase III, Randomized Trial of Acalabrutinib Versus Idelalisib Plus Rituximab or Bendamustine Plus Rituximab in Relapsed or Refractory Chronic Lymphocytic Leukemia",2020-09-01,acalabrutinib,True,"['Acerta Pharma/AstraZeneca', 'Acerta Pharma', 'AstraZeneca']",1,Italy,20,11,3,6,0,3,1,1,0,0,1,1,0,0,1,0
Long-Term Outcomes From a Randomized Dose Optimization Study of Chimeric Antigen Receptor Modified T Cells in Relapsed Chronic Lymphocytic Leukemia,2020-09-01,CART-19,True,"['Novartis', 'Patent Combination Therapies of CAR and PD-1 Inhibitors (via University of Pennsylvania with royalties to Novartis)', 'Patents and intellectual property related to CAR-T technology licensed to Novartis', 'Intellectual property rights licensed to Novartis (royalties paid to University of Pennsylvania)']",0,USA,20,9,0,4,1,4,1,1,0,0,1,1,0,0,0,1
"Pyrotinib in HER2-Mutant Advanced Lung Adenocarcinoma After Platinum-Based Chemotherapy: A Multicenter, Open-Label, Single-Arm, Phase II Study",2020-08-20,pyrotinib,True,"['Hengrui Therapeutics', 'Hengrui Medicine', 'Jiangsu Hengrui Medicine Co']",0,China,17,5,3,1,0,1,1,1,0,1,1,0,0,0,1,0
Randomized Trial Comparing Double Versus Triple Bortezomib-Based Regimen in Patients With Multiple Myeloma and Acute Kidney Injury Due to Cast Nephropathy,2020-08-10,bortezomib,True,['Takeda'],0,France,28,6,0,3,0,4,0,1,0,0,0,0,0,0,0,1
Long-Term Outcomes in KEYNOTE-052: Phase II Study Investigating First-Line Pembrolizumab in Cisplatin-Ineligible Patients With Locally Advanced or Metastatic Urothelial Cancer,2020-08-10,pembrolizumab,True,"['Merck', 'Merck Sharp & Dohme', 'MSD', 'MSD Oncology']",1,USA,16,16,4,10,0,5,1,1,0,0,0,1,0,0,0,0
Impact of Intrathecal Triple Therapy Versus Intrathecal Methotrexate on Disease-Free Survival for High-Risk B-Lymphoblastic Leukemia: Childrenâ€™s Oncology Group Study AALL1131,2020-08-10,methotrexate,False,[],0,USA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intracranial Efficacy and Survival With Tucatinib Plus Trastuzumab and Capecitabine for Previously Treated HER2-Positive Breast Cancer With Brain Metastases in the HER2CLIMB Trial,2020-08-10,tucatinib,True,['Puma Biotechnology'],1,USA,29,10,0,5,0,3,1,0,0,0,1,0,0,0,0,0
PD-1 Blockade in Anaplastic Thyroid Carcinoma,2020-08-10,spartalizumab,True,"['Novartis', 'Patents related to drugs being developed by Novartis', 'Novartis Pharmaceuticals (I)', 'Novartis Pharmaceuticals']",1,Spain,24,18,6,9,2,2,1,1,0,0,1,1,1,0,0,0
International Rare Cancers Initiative Multicenter Randomized Phase II Trial of Cisplatin and Fluorouracil Versus Carboplatin and Paclitaxel in Advanced Anal Cancer: InterAAct,2020-08-01,cisplatin,False,[],1,United Kingdom,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safety and Patient-Reported Outcomes of Atezolizumab Plus Chemotherapy With or Without Bevacizumab Versus Bevacizumab Plus Chemotherapy in Nonâ€“Small-Cell Lung Cancer,2020-08-01,atezolizumab,True,['Genentech'],1,Germany,19,13,7,5,2,4,1,1,0,0,1,1,1,1,0,1
Neoadjuvant Nivolumab for Patients With Resectable Merkel Cell Carcinoma in the CheckMate 358 Trial,2020-08-01,nivolumab,True,"['Bristol Myers Squibb (I)', 'Bristol Myers Squibb', 'BMS']",1,USA,24,20,5,10,2,4,1,1,0,0,0,0,0,0,0,0
Safety and Efficacy of Pembrolizumab With Chemoradiotherapy in Locally Advanced Head and Neck Squamous Cell Carcinoma: A Phase IB Study,2020-07-20,pembrolizumab,True,"['Merck Sharp & Dohme', 'Merck']",0,USA,18,3,0,3,0,0,1,1,0,0,0,1,0,0,0,0
"Pembrolizumab or Placebo Plus Etoposide and Platinum as First-Line Therapy for Extensive-Stage Small-Cell Lung Cancer: Randomized, Double-Blind, Phase III KEYNOTE-604 Study",2020-07-20,pembrolizumab,True,"['Merck Serono', 'Merck Sharp & Dohme Corp', 'Merck & Co', 'MSD', 'Merck']",1,USA,21,19,3,10,1,4,1,1,0,0,0,0,0,0,0,0
Phase II Study of AZD4547 in Patients With Tumors Harboring Aberrations in the FGFR Pathway: Results From the NCI-MATCH Trial (EAY131) Subprotocol W,2020-07-20,AZD4547,True,"['AstraZeneca', 'Astra Zeneca']",0,USA,22,3,0,1,1,0,1,0,0,0,1,0,1,0,0,0
Phase I Escalation and Expansion Study of Bemarituzumab (FPA144) in Patients With Advanced Solid Tumors and FGFR2b-Selected Gastroesophageal Adenocarcinoma,2020-07-20,Bemarituzumab,True,['Five Prime Therapeutics'],0,USA,13,10,3,1,0,1,1,1,0,0,0,1,0,0,1,0
"Neoadjuvant Chemotherapy in High-Risk Soft Tissue Sarcomas: Final Results of a Randomized Trial From Italian (ISG), Spanish (GEIS), French (FSG), and Polish (PSG) Sarcoma Groups",2020-07-01,trabectedin,True,"['Pharmamar', 'PharmaMar']",1,Italy,28,9,0,5,2,5,1,1,0,0,1,0,0,0,1,0
Randomized Phase III Study of Pemetrexed Plus Cisplatin Versus Vinorelbine Plus Cisplatin for Completely Resected Stage II to IIIA Nonsquamous Nonâ€“Small-Cell Lung Cancer,2020-07-01,pemetrexed,True,"['Eli Lilly', 'Lilly', 'Eli Lilly Japan']",0,Japan,20,12,0,3,2,9,1,0,0,0,0,0,0,0,1,0
"Phase I/II Study of CPX-351 Followed by Fludarabine, Cytarabine, and Granulocyte-Colony Stimulating Factor for Children With Relapsed Acute Myeloid Leukemia: A Report From the Childrenâ€™s Oncology Group",2020-07-01,CPX-351,True,['Jazz Pharmaceuticals'],0,USA,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Randomized Trial of Text Messaging to Reduce Early Discontinuation of Adjuvant Aromatase Inhibitor Therapy in Women With Early-Stage Breast Cancer: SWOG S1105,2020-07-01,Letrozole,True,['Novartis'],0,USA,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Irinotecan, Temozolomide, and Dinutuximab With GM-CSF in Children With Refractory or Relapsed Neuroblastoma: A Report From the Childrenâ€™s Oncology Group",2020-07-01,dinutuximab,True,['EUSA Pharma'],0,USA,19,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Phase I, Open-Label, Dose-Escalation/Dose-Expansion Study of Lifirafenib (BGB-283), an RAF Family Kinase Inhibitor, in Patients With Solid Tumors",2020-07-01,lifirafenib,True,"['BeiGene (Beijing) Co', 'BeiGene', 'multiple patents awarded as BeiGene employee (I)', 'BeiGene (I)']",1,Australia,27,12,8,1,0,0,1,0,0,0,1,0,0,0,0,0
Implementation of Minimally Invasive Esophagectomy From a Randomized Controlled Trial Setting to National Practice,2020-07-01,minimally invasive esophagectomy,False,[],0,United Kingdom,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regorafenib Plus Nivolumab in Patients With Advanced Gastric or Colorectal Cancer: An Open-Label, Dose-Escalation, and Dose-Expansion Phase Ib Trial (REGONIVO, EPOC1603)",2020-06-20,regorafenib,True,['Bayer AG'],0,Japan,18,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Nonmetastatic Medulloblastoma of Early Childhood: Results From the Prospective Clinical Trial HIT-2000 and An Extended Validation Cohort,2020-06-20,methotrexate,False,[],1,Germany,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4/CD8 T-Cell Selection Affects Chimeric Antigen Receptor (CAR) T-Cell Potency and Toxicity: Updated Results From a Phase I Anti-CD22 CAR T-Cell Trial,2020-06-10,CD22 CAR T-cells,False,['An inventor on numerous patents related to CAR therapeutics and royalties from NIH for the CD22 CAR patent licensed to Juno Therapeutics.'],0,USA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Randomized, Phase II Study of Trastuzumab Beyond Progression in Patients With HER2-Positive Advanced Gastric or Gastroesophageal Junction Cancer: WJOG7112G (T-ACT Study)",2020-06-10,trastuzumab,True,['Chugai/Roche'],0,Japan,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antitumor Activity and Safety of Trastuzumab Deruxtecan in Patients With HER2-Lowâ€“Expressing Advanced Breast Cancer: Results From a Phase Ib Study,2020-06-10,trastuzumab deruxtecan,True,"['Daiichi Sankyo (I)', 'Daiichi Sankyo']",0,USA,17,14,6,6,0,4,1,1,0,0,1,0,0,0,0,1
Randomized Phase II Trial of Nivolumab Versus Nivolumab and Ipilimumab for Recurrent or Persistent Ovarian Cancer: An NRG Oncology Study,2020-06-01,nivolumab,True,['Bristol Myers Squibb'],0,USA,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adjuvant Capecitabine With Docetaxel and Cyclophosphamide Plus Epirubicin for Triple-Negative Breast Cancer (CBCSG010): An Open-Label, Randomized, Multicenter, Phase III Trial",2020-06-01,capecitabine,True,['Roche'],0,China,40,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0
Randomized Double-Blind Phase II Study of Maintenance Pembrolizumab Versus Placebo After First-Line Chemotherapy in Patients With Metastatic Urothelial Cancer,2020-06-01,pembrolizumab,True,"['Merck Sharp & Dohme', 'Merck']",0,USA,22,10,0,3,0,2,1,0,0,0,1,0,0,0,0,0
"First-in-Human, Multicenter, Phase I Dose-Escalation and Expansion Study of Anti-Mesothelin AntibodyÃ¢â‚¬â€œDrug Conjugate Anetumab Ravtansine in Advanced or Metastatic Solid Tumors",2020-06-01,Anetumab Ravtansine,True,"['Bayer', 'Bayer HealthCare', 'Bayer AG']",0,USA,16,10,4,1,0,0,1,1,0,0,0,1,0,0,0,0
Preoperative Chemoradiotherapy Versus Immediate Surgery for Resectable and Borderline Resectable Pancreatic Cancer: Results of the Dutch Randomized Phase III PREOPANC Trial,2020-06-01,gemcitabine,False,[],0,the Netherlands,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phase I Study of the Mutant IDH1 Inhibitor Ivosidenib: Safety and Clinical Activity in Patients With Advanced Chondrosarcoma,2020-05-20,ivosidenib,True,"['Agios Pharmaceuticals (I)', 'Agios Pharmaceuticals', 'Patents derived from my work at Agios Pharmaceuticals']",0,USA,17,12,7,4,0,0,1,0,0,0,1,0,0,0,0,0
Improvement in Patient-Reported Outcomes With Intensity-Modulated Radiotherapy (RT) Compared With Standard RT: A Report From the NRG Oncology RTOG 1203 Study,2020-05-20,intensity-modulated radiotherapy,True,['Varian Medical Systems'],1,USA,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Prognostic Value of Tumor Deposits for Disease-Free Survival in Patients With Stage III Colon Cancer: A Post Hoc Analysis of the IDEA France Phase III Trial (PRODIGE-GERCOR),2020-05-20,capecitabine and oxaliplatin,False,[],0,France,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randomized Phase IIB Trial of Proton Beam Therapy Versus Intensity-Modulated Radiation Therapy for Locally Advanced Esophageal Cancer,2020-05-10,Proton Beam Therapy (PBT),True,"['Varian Medical Systems', 'Varian Medical Systems (I)']",0,USA,27,4,0,0,2,2,1,0,0,0,0,0,1,0,0,0
Updated Analysis From KEYNOTE-189: Pembrolizumab or Placebo Plus Pemetrexed and Platinum for Previously Untreated Metastatic Nonsquamous Nonâ€“Small-Cell Lung Cancer,2020-05-10,pembrolizumab,True,"['Merck', 'Merck Sharp & Dohme', 'MSD', 'MSD Oncology']",1,USA,26,21,3,10,6,8,1,1,0,0,0,1,0,1,1,1
Randomized Phase II Study of First-Line Cladribine With Concurrent or Delayed Rituximab in Patients With Hairy Cell Leukemia,2020-05-10,rituximab,True,['Genentech'],0,USA,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TBCRC 031: Randomized Phase II Study of Neoadjuvant Cisplatin Versus Doxorubicin-Cyclophosphamide in Germline BRCA Carriers With HER2-Negative Breast Cancer (the INFORM trial),2020-05-10,cisplatin,False,[],0,USA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long-Term Outcomes and Retreatment Among Patients With Previously Treated, Programmed Death-Ligand 1â€’Positive, Advanced Nonâ€’Small-Cell Lung Cancer in the KEYNOTE-010 Study",2020-05-10,pembrolizumab,True,"['Merck Serono', 'Merck', 'Merck Sharp & Dohme', 'MSD', 'MSD Oncology']",1,USA,19,17,3,6,2,3,1,1,0,0,1,1,0,0,0,0
"Liberal Versus Restrictive Red Blood Cell Transfusion Thresholds in Hematopoietic Cell Transplantation: A Randomized, Open Label, Phase III, Noninferiority Trial",2020-05-01,,False,[],0,Canada,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dietary Modification and Breast Cancer Mortality: Long-Term Follow-Up of the Womenâ€™s Health Initiative Randomized Trial,2020-05-01,,False,[],0,USA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Randomized, Multicenter, Phase II Trial of Gemcitabine and Cisplatin With or Without Veliparib in Patients With Pancreas Adenocarcinoma and a Germline BRCA/PALB2 Mutation",2020-05-01,veliparib,True,['AbbVie'],1,USA,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bendamustine With Dexamethasone in Relapsed/Refractory Systemic Light-Chain Amyloidosis: Results of a Phase II Study,2020-05-01,Bendamustine,False,[],0,USA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phase II Single-Arm Study of Preoperative Letrozole for Estrogen Receptorâ€“Positive Postmenopausal Ductal Carcinoma In Situ: CALGB 40903 (Alliance),2020-04-20,letrozole,True,['Novartis'],0,USA,21,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Phase Ib/II Clinical Trial of Pembrolizumab With Bevacizumab for Metastatic Renal Cell Carcinoma: BTCRC-GU14-003,2020-04-10,bevacizumab,True,['Genentech'],0,USA,11,4,0,2,1,1,0,1,0,0,0,0,0,0,0,0
Standard Anthracycline Based Versus Docetaxel-Capecitabine in Early High Clinical and/or Genomic Risk Breast Cancer in the EORTC 10041/BIG 3-04 MINDACT Phase III Trial,2020-04-10,docetaxel,True,['Sanofi'],1,France,30,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0
Olaparib Versus Nonplatinum Chemotherapy in Patients With Platinum-Sensitive Relapsed Ovarian Cancer and a Germline BRCA1/2 Mutation (SOLO3): A Randomized Phase III Trial,2020-04-10,olaparib,True,['AstraZeneca'],1,USA,16,9,3,5,2,2,1,1,0,1,1,0,0,0,1,0
"Phase IB/II Trial of Lenvatinib Plus Pembrolizumab in Patients With Advanced Renal Cell Carcinoma, Endometrial Cancer, and Other Selected Advanced Solid Tumors",2020-04-10,lenvatinib,True,['Eisai'],0,USA,9,9,4,4,1,1,1,1,0,0,1,1,1,0,0,0
Randomized Trial of Lenalidomide Versus Observation in Smoldering Multiple Myeloma,2020-04-10,lenalidomide,True,['Celgene'],0,USA,17,9,0,7,1,2,1,0,0,0,1,0,0,0,0,0
"EV-101: A Phase I Study of Single-Agent Enfortumab Vedotin in Patients With Nectin-4â€“Positive Solid Tumors, Including Metastatic Urothelial Carcinoma",2020-04-01,enfortumab vedotin,True,['Seattle Genetics'],0,USA,20,12,1,5,0,3,1,1,0,0,1,1,0,0,0,0
MK-2206 and Standard Neoadjuvant Chemotherapy Improves Response in Patients With Human Epidermal Growth Factor Receptor 2â€“Positive and/or Hormone Receptorâ€“Negative Breast Cancers in the I-SPY 2 Trial,2020-04-01,MK-2206,True,"['Merck (I)', 'Merck', 'Merck Sharp & Dohme']",0,USA,50,9,0,3,0,0,1,1,0,0,0,0,0,0,0,0
Efficacy of Ruxolitinib in Patients With Chronic Neutrophilic Leukemia and Atypical Chronic Myeloid Leukemia,2020-04-01,ruxolitinib,True,['Incyte'],0,USA,26,6,0,5,0,2,1,1,0,0,1,0,0,0,1,0
Hippocampal Avoidance During Whole-Brain Radiotherapy Plus Memantine for Patients With Brain Metastases: Phase III Trial NRG Oncology CC001,2020-04-01,memantine,False,[],0,USA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-Indexâ€“Guided Early Antifungal Therapy Versus Empiric Antifungal Therapy for Persistent Febrile Neutropenia: A Randomized Controlled Noninferiority Trial,2020-03-10,micafungin,True,['Astellas Pharma'],0,Japan,20,6,0,0,1,4,1,0,0,0,0,0,0,0,1,0
Antiâ€“B-Cell Maturation Antigen BiTE Molecule AMG 420 Induces Responses in Multiple Myeloma,2020-03-10,AMG 420,True,['Amgen'],1,Germany,17,12,6,5,0,3,1,1,0,0,1,1,0,0,0,1
Randomized Phase III Study of Continuation Maintenance Bevacizumab With or Without Pemetrexed in Advanced Nonsquamous Nonâ€“Small-Cell Lung Cancer: COMPASS (WJOG5610L),2020-03-10,bevacizumab,True,['Roche'],0,Japan,20,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dietary Supplement Use During Chemotherapy and Survival Outcomes of Patients With Breast Cancer Enrolled in a Cooperative Group Clinical Trial (SWOG S0221),2020-03-10,,False,[],0,USA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-Term Results of NRG Oncology RTOG 0617: Standard- Versus High-Dose Chemoradiotherapy With or Without Cetuximab for Unresectable Stage III NonÃ¢â‚¬â€œSmall-Cell Lung Cancer,2020-03-01,cetuximab,False,[],0,USA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phase III Study of Adjuvant Ipilimumab (3 or 10 mg/kg) Versus High-Dose Interferon Alfa-2b for Resected High-Risk Melanoma: North American Intergroup E1609,2020-02-20,ipilimumab,True,"['Bristol-Myers Squibb', 'Bristol-Myers Squibb (I)']",0,USA,21,13,1,7,1,3,1,1,0,0,1,1,0,0,0,0
Gemtuzumab Ozogamicin in NPM1-Mutated Acute Myeloid Leukemia: Early Results From the Prospective Randomized AMLSG 09-09 Phase III Study,2020-02-20,gemtuzumab ozogamicin,True,"['Pfizer', 'Pfizer (I)']",0,Germany,33,11,0,8,2,3,1,1,0,0,1,0,1,0,0,0
Sequencing of Androgen-Deprivation Therapy With External-Beam Radiotherapy in Localized Prostate Cancer: A Phase III Randomized Controlled Trial,2020-02-20,LHRH agonist,False,[],0,Canada,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP2D6 Genotypeâ€“Guided Tamoxifen Dosing in Hormone Receptorâ€“Positive Metastatic Breast Cancer (TARGET-1): A Randomized, Open-Label, Phase II Study",2020-02-20,tamoxifen,False,[],0,Japan,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osimertinib in Patients With Epidermal Growth Factor Receptor Mutationâ€“Positive Nonâ€“Small-Cell Lung Cancer and Leptomeningeal Metastases: The BLOOM Study,2020-02-20,osimertinib,True,"['AstraZeneca (I)', 'AstraZeneca']",1,China,16,14,6,5,0,5,1,1,0,0,1,1,0,0,1,1
"Randomized Phase III Study of Ganetespib, a Heat Shock Protein 90 Inhibitor, With Docetaxel Versus Docetaxel in Advanced NonÃ¢â‚¬â€œSmall-Cell Lung Cancer (GALAXY-2)",2020-02-20,ganetespib,False,[],1,USA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outcome in Children With Standard-Risk B-Cell Acute Lymphoblastic Leukemia: Results of ChildrenÃ¢â‚¬â„¢s Oncology Group Trial AALL0331,2020-02-20,pegaspargase,True,"['Amgen', 'Amgen (I)']",0,USA,20,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Capivasertib Plus Paclitaxel Versus Placebo Plus Paclitaxel As First-Line Therapy for Metastatic Triple-Negative Breast Cancer: The PAKT Trial,2020-02-10,capivasertib,True,['AstraZeneca'],1,United Kingdom,29,14,4,5,1,3,1,1,0,0,1,1,0,0,1,0
"Osimertinib for Patients With Nonâ€“Small-Cell Lung Cancer Harboring Uncommon EGFR Mutations: A Multicenter, Open-Label, Phase II Trial (KCSG-LU15-09)",2020-02-10,osimertinib,True,['AstraZeneca'],0,Republic of Korea,14,5,0,3,0,3,1,1,0,0,0,1,0,0,0,1
NSABP B-47/NRG Oncology Phase III Randomized Trial Comparing Adjuvant Chemotherapy With or Without Trastuzumab in High-Risk Invasive Breast Cancer Negative for HER2 by FISH and With IHC 1+ or 2+,2020-02-10,trastuzumab,True,['Genentech'],1,USA,20,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Randomized, Phase II Study Prospectively Evaluating Treatment of Metastatic Esophageal, Gastric, or Gastroesophageal Cancer by Gene Expression of ERCC1: SWOG S1201",2020-02-10,,False,[],0,USA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimizing Chimeric Antigen Receptor T-Cell Therapy for Adults With Acute Lymphoblastic Leukemia,2020-02-10,tisagenlecleucel,True,"['Novartis', 'Patents and intellectual property related to chimeric antigen receptor T-cell technology licensed to Novartis', 'Intellectual property licensed to Novartis', 'Patent owned by the University of Pennsylvania currently licensed to Novartis for an algorithm that predicts severe cytokine release syndrome for chimeric antigen receptor T-cell 19 therapy; receive 10% of the licensing fees']",0,USA,18,11,0,4,0,3,1,1,0,0,1,1,0,0,0,0
Phase II Feasibility and Biomarker Study of Neoadjuvant Trastuzumab and Pertuzumab With Chemoradiotherapy for Resectable Human Epidermal Growth Factor Receptor 2â€“Positive Esophageal Adenocarcinoma: TRAP Study,2020-02-10,trastuzumab,True,['Roche'],0,the Netherlands,25,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Pembrolizumab for Treatment-Refractory Metastatic Castration-Resistant Prostate Cancer: Multicohort, Open-Label Phase II KEYNOTE-199 Study",2020-02-10,pembrolizumab,True,"['MSD (I)', 'MSD', 'Merck Sharp & Dohme', 'MSD Oncology']",1,USA,24,23,4,10,1,4,1,1,0,0,1,1,0,0,1,0
Adding Ovarian Suppression to Tamoxifen for Premenopausal Breast Cancer: A Randomized Phase III Trial,2020-02-10,goserelin,True,['AstraZeneca'],0,Republic of Korea,30,3,0,2,1,0,1,0,0,0,1,0,0,0,0,0
Neoadjuvant Talazoparib for Patients With Operable Breast Cancer With a Germline BRCA Pathogenic Variant,2020-02-10,talazoparib,True,"['Pfizer', 'Pfizer (I)', 'Medivation/Pfizer']",0,USA,19,6,0,3,0,2,1,0,0,0,1,0,0,0,0,0
Treatment of Older Patients With Mantle Cell Lymphoma (MCL): Long-Term Follow-Up of the Randomized European MCL Elderly Trial,2020-01-20,rituximab,True,"['F. Hoffmann-La Roche', 'Roche Pharma AG', 'Roche']",1,the Netherlands,22,11,0,7,2,4,1,1,0,0,0,1,0,1,0,0
"Valproate and Retinoic Acid in Combination With Decitabine in Elderly Nonfit Patients With Acute Myeloid Leukemia: Results of a Multicenter, Randomized, 2 Ã— 2, Phase II Trial",2020-01-20,decitabine,True,"['Astex Pharmaceuticals', 'Astex']",0,Germany,33,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0
"Pembrolizumab As Second-Line Therapy in Patients With Advanced Hepatocellular Carcinoma in KEYNOTE-240: A Randomized, Double-Blind, Phase III Trial",2020-01-20,pembrolizumab,True,"['Merck Sharp & Dohme', 'Merck', 'Merck Sharp & Dohme Oncology']",1,USA,21,15,3,10,0,5,1,1,0,0,1,1,0,0,0,0
Phase II Study of Nonmetastatic Desmoplastic Medulloblastoma in Children Younger Than 4 Years of Age: A Report of the Childrenâ€™s Oncology Group (ACNS1221),2020-01-20,,False,[],0,Canada,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nivolumab Is Effective in Mismatch Repairâ€“Deficient Noncolorectal Cancers: Results From Arm Z1Dâ€”A Subprotocol of the NCI-MATCH (EAY131) Study,2020-01-20,nivolumab,True,"['Bristol-Myers Squibb', 'Bristol-Myers Squib']",0,USA,25,9,0,5,0,0,1,1,0,0,0,1,0,0,0,0
Health-Related Quality of Life With Carboplatin-Paclitaxel or nab-Paclitaxel With or Without Pembrolizumab in Patients With Metastatic Squamous Nonâ€“Small-Cell Lung Cancer,2020-01-20,pembrolizumab,True,"['a subsidiary of Merck & Co.', 'Merck (I)', 'Merck Sharp & Dohme', 'Merck Sharp & Dohme Corp.', 'Merck Sharp & Dohme Corp. a subsidiary of Merck & Co.', 'Merck', 'MSD', 'MSD Oncology']",1,France,20,15,4,7,2,3,1,1,0,0,1,0,0,0,0,1
